X_mean;Y_mean;Z_mean;X_var;Y_var;Z_var;medicao;;;;
-1402,71409;-771,7482138;-91,90588216;760218,0961;246820,2633;1486,350973;420230887;;;;
-95,15279888;-163,2443972;-209,3807967;23181,89611;56399,35276;63117,47093;413061040;;;;
174,8999969;95,83919864;3,477599856;15296,05494;527,5580153;501,6433226;421033487;;;;
108,5290902;1,685454636;81,43363484;15227,63499;176,6145877;13110,81413;414190204;;;;
98,83142857;-38,97428529;34,17142752;14030,94622;861,4618191;7526,701038;420594875;;;;
108,047754;70,64693749;-6,432244776;12436,32479;877,1959369;392,680632;421033490;;;;
113,6306655;-24,29866636;44,74133277;11425,30335;1443,165255;6659,210553;420489284;;;;
-39,69306047;-49,82816222;-1,578367433;7905,811838;43,67446326;5042,594315;420606629;;;;
-157,9329402;25,44588206;3,592941151;7791,106438;375,5615316;103,9642033;420594830;;;;
-70,21255702;11,74186031;4,908837114;6122,226915;283,3560856;243,6655229;420594831;;;;
94,45749814;-21,17749983;22,79749945;4211,032876;15,6089793;1483,911668;420554957;;;;
-61,54285654;-31,131428;-36,24857112;4011,364928;165,9348474;1257,958299;411369793;;;;
14,34239978;-29,4431997;-34,25999946;3885,530294;10,83776933;121,1965664;420594997;;;;
-54,17448343;21,86148832;-45,54716045;3724,381424;3454,052274;7098,638188;411452778;;;;
-19,91058789;8,16588227;10,09764692;3646,862519;111,4077947;67,57089011;410926376;;;;
-56,43749913;-12,85687478;-57,10499884;3593,281057;49,36325328;1099,997145;411369795;;;;
18,42193529;-3,692903162;-36,15096704;3293,122824;309,8118781;967,693371;414663660;;;;
100,6894103;54,96470496;-84,9670576;3071,907601;283,4003185;1444,083033;420544459;;;;
45,00479948;13,46639976;18,5016;2983,811583;0,750623888;746,5178609;414659854;;;;
42,23764644;-9,970588186;-2,688235361;2878,387854;373,9922873;1287,844381;414209298;;;;
-49,90823495;-11,94705841;-11,55058809;2610,850579;1231,146044;38,00942917;430229903;;;;
39,58064488;8,490967584;-15,04064495;2310,406141;183,2735615;538,7043172;420933314;;;;
-61,81464169;83,54149094;-22,09502322;2217,190844;2608,600699;2472,132567;413744284;;;;
-81,236841;64,76842047;24,47052616;2159,110914;545,0725529;95,99730495;412502176;;;;
10,23729684;-7,248648524;-10,88270256;2114,663383;672,461949;197,4354653;414175230;;;;
22,75636277;15,7118179;17,02636345;2097,392899;541,5809989;722,5395114;413791713;;;;
56,1553832;7,08923053;15,48923049;2059,264941;33,19334926;1268,299748;420870391;;;;
26,15555472;-18,84666644;-22,42222181;2035,238003;1177,810672;73,04283432;421042700;;;;
-46,37086924;3,692608733;-1,86260845;2032,620763;618,2989652;1991,876943;400357065;;;;
-5,562856857;47,33999957;-11,10428571;1956,39085;460,204605;1192,327429;420324756;;;;
86,63806258;-2,533548308;58,23870861;1936,357773;105,6011242;1460,802298;411369788;;;;
-6,058641198;2,581450241;8,654940786;1896,519376;92,81334843;572,1922145;421311698;;;;
50,1247051;97,51646945;-23,50823495;1786,370647;2167,877625;106,9385762;414091436;;;;
-28,34235245;-18,35999969;-19,16235285;1705,393819;2,120687978;117,1955452;411020373;;;;
12,16235266;1,597646902;8,744705676;1667,137228;684,2357055;117,2636385;420087193;;;;
-21,48666619;14,61777763;21,30888866;1636,72231;6,64287212;342,3161554;412465294;;;;
34,83096736;7,678064368;41,56064447;1624,504979;412,9174674;2678,782084;414212811;;;;
-25,1625;23,34749971;-11,09999987;1538,29132;77,50886984;152,9667842;420520230;;;;
60,86249548;-2,439230595;32,51135851;1490,731956;20,68980798;117,346194;413656623;;;;
159,128528;-29,656311;45,4245865;1484,107584;6,549975946;28,34652176;420599520;;;;
29,12816309;-12,68816313;0,793469288;1432,084187;510,086552;690,9321269;411369766;;;;
-2,029090773;6,166363653;22,93363591;1418,489686;125,6344906;552,4048809;413849473;;;;
5,724705649;-18,38705855;-3,51764698;1335,765446;2064,241586;171,3185138;414103773;;;;
-39,05142766;73,501714;-21,04114239;1324,252556;6201,421509;588,0057162;411364393;;;;
-34,27813909;15,23302294;-8,18511617;1294,194048;37,64729461;148,1631797;412790716;;;;
56,34947309;-39,31736784;-31,62157861;1274,638649;180,549511;371,7022276;421042695;;;;
-24,63647039;0,70470588;23,2764704;1219,165623;159,4818458;1698,439114;414359776;;;;
13,85333291;-58,75199891;9,545333176;1180,741062;24,66697005;15,91818874;412911147;;;;
-49,86470516;-7,603529335;-3,889411637;1168,173594;16,04967539;402,1437038;412178335;;;;
20,32333291;10,05499977;7,269999886;1164,495173;35,03650999;35,2794848;413920618;;;;
17,60057134;32,13257089;9,068571314;1156,878186;870,772272;12165,00731;413460549;;;;
-28,46042501;14,32723369;-10,11957428;1138,645577;5,393885788;26,59543348;412309015;;;;
-17,38142848;-3,634285637;19,8899998;1134,558859;87,91887159;165,4736059;413242466;;;;
12,13411743;44,51058763;15,32352918;1121,889064;187,0600842;34,32845937;412489543;;;;
18,85741904;27,94451585;53,71935453;1075,240338;1198,151002;2375,549837;411365464;;;;
5,205405241;5,721080876;-8,565405186;1073,417846;76,35744026;11,96048029;430113374;;;;
29,85764663;11,11647045;16,830588;1055,37611;822,9238498;377,3307352;412521479;;;;
-11,11636365;17,11636341;25,45090868;1055,25973;32,17011203;389,8490426;420288156;;;;
-17,06108097;16,9670267;-22,25351318;1051,939627;15,88262609;174,9321613;412436828;;;;
-37,6888848;-36,21528259;45,61195992;1035,491516;173,8980465;170,5188366;414161838;;;;
-53,07733278;19,89599961;-18,30266658;1033,855063;493,1707587;229,7771875;413449712;;;;
-43,3079992;-1,339999968;-31,33199952;1016,722492;2,891503341;671,2650071;412359570;;;;
-16,31949332;17,98967343;-39,36340622;988,0519051;45,89589237;5079,133427;413890754;;;;
13,44367327;-49,47795806;25,69469347;985,2117447;714,7739033;341,9295712;430214244;;;;
-13,79999961;32,34765943;-27,30510576;985,1507651;2116,332544;487,4878317;400174858;;;;
37,89764663;8,736470478;16,6823528;968,0876341;54,46282694;51,10890604;411369770;;;;
35,15764661;4,068235222;3,231764669;946,9085456;358,278181;12,71549041;411631547;;;;
-36,70563739;-17,85949415;-19,81648071;932,7020571;440,2886103;406,3233519;430193602;;;;
30,51866632;3,558666553;-1,041333354;895,5864131;59,65147738;122,281386;414274365;;;;
-61,79777136;58,52122759;11,94689527;889,6434011;500,6224259;22,9647156;413015389;;;;
-48,0407988;-5,4372;7,582799788;860,8308294;533,7960774;214,6537219;410691581;;;;
14,69032264;38,60128955;-7,050967752;859,1664094;500,7665915;71,30732877;413816489;;;;
-49,21411692;25,83176433;-30,70117608;856,6759245;46,65403466;594,0376399;413184116;;;;
-32,3699993;-0,186428581;2,644285702;824,9411659;4,665690263;273,6727778;412251664;;;;
-35,11089366;1,715610439;37,53491675;817,9154479;5,859158466;446,1340654;420692212;;;;
-9,772174;20,96086932;-22,81565212;815,6952956;216,169071;1254,760101;410150959;;;;
-14,65439996;13,93679982;-14,6039998;811,8567828;52,96935442;521,6627949;413639574;;;;
10,08172915;8,387294176;-10,19289957;806,0152379;330,3717833;215,1855795;410239009;;;;
18,09680089;-4,588580569;-16,94294135;803,4990848;1197,707937;92,5304819;413903785;;;;
43,48830404;-11,20169272;-6,124978984;797,9406523;171,5748579;154,2383243;411710425;;;;
36,53882276;-6,544705733;20,92117609;783,2013482;138,8342578;204,8626724;414253458;;;;
2,101874905;8,705624822;7,904999891;762,6559051;12,45538521;6,148567284;420517365;;;;
-17,65764682;-10,28117634;44,787058;756,7560276;141,2680001;942,3161362;412087643;;;;
41,29631515;47,48578893;40,95368372;752,2429337;2747,969369;302,9703329;410372183;;;;
-33,98052559;-27,22736802;32,55473629;750,4601074;102,1368952;160,0666266;430085568;;;;
23,7061222;9,668571171;14,12081609;749,4994667;8,390699584;125,1621775;414157889;;;;
17,41499979;10,85499992;7,157499783;742,1989018;661,5149849;389,1588788;413833363;;;;
-49,9649995;51,7518745;45,76499928;736,1526126;2,351144675;165,8104197;410720317;;;;
16,51124973;17,12625004;28,66874969;728,4884017;941,0620629;247,0042565;411944682;;;;
